date,close
1-Jan-1984,7.3
1-Jan-1985,4.2
1-Jan-1986,3.5
1-Jan-1987,3.5
1-Jan-1988,4.2
1-Jan-1989,3.7
1-Jan-1990,1.9
1-Jan-1991,-0.1
1-Jan-1992,3.6
1-Jan-1993,2.7
1-Jan-1994,4
1-Jan-1995,2.7
1-Jan-1996,3.8
1-Jan-1997,4.5
1-Jan-1998,4.5
1-Jan-1999,4.7
1-Jan-2000,4.1
1-Jan-2001,1
1-Jan-2002,1.8
1-Jan-2003,2.8
1-Jan-2004,3.8
1-Jan-2005,3.3
1-Jan-2006,2.7
1-Jan-2007,1.8
1-Jan-2008,-0.3
1-Jan-2009,-2.8
1-Jan-2010,2.5
1-Jan-2011,1.6
1-Jan-2012,2.2
1-Jan-2013,1.5
1-Jan-2014,2.4
1-Jan-2015,2.4
