date,close
1-Jan-1980,10.62197
1-Apr-1980,10.70545
1-Jul-1980,10.46409
1-Oct-1980,10.25113
1-Jan-1981,10.31109
1-Apr-1981,10.45638
1-Jul-1981,10.35784
1-Oct-1981,10.42270
1-Jan-1982,10.50355
1-Apr-1982,10.56408
1-Jul-1982,10.46394
1-Oct-1982,10.41918
1-Jan-1983,10.39225
1-Apr-1983,10.41720
1-Jul-1983,10.42104
1-Oct-1983,10.47253
1-Jan-1984,10.52199
1-Apr-1984,10.65104
1-Jul-1984,10.75671
1-Oct-1984,10.91530
1-Jan-1985,11.25398
1-Apr-1985,11.34335
1-Jul-1985,11.63049
1-Oct-1985,11.75130
1-Jan-1986,11.77287
1-Apr-1986,11.84141
1-Jul-1986,11.94053
1-Oct-1986,12.08309
1-Jan-1987,11.94830
1-Apr-1987,12.08986
1-Jul-1987,11.95965
1-Oct-1987,11.82585
1-Jan-1988,11.77474
1-Apr-1988,11.75859
1-Jul-1988,11.71373
1-Oct-1988,11.59006
1-Jan-1989,11.57907
1-Apr-1989,11.74680
1-Jul-1989,11.80972
1-Oct-1989,11.76705
1-Jan-1990,11.66461
1-Apr-1990,11.62837
1-Jul-1990,11.60409
1-Oct-1990,11.61963
1-Jan-1991,11.60080
1-Apr-1991,11.46288
1-Jul-1991,11.35233
1-Oct-1991,11.14867
1-Jan-1992,10.87307
1-Apr-1992,10.69259
1-Jul-1992,10.55446
1-Oct-1992,10.48055
1-Jan-1993,10.42510
1-Apr-1993,10.37388
1-Jul-1993,10.42758
1-Oct-1993,10.39468
1-Jan-1994,10.41080
1-Apr-1994,10.46958
1-Jul-1994,10.60344
1-Oct-1994,10.72086
1-Jan-1995,10.90042
1-Apr-1995,11.10078
1-Jul-1995,11.20915
1-Oct-1995,11.24760
1-Jan-1996,11.26469
1-Apr-1996,11.28903
1-Jul-1996,11.33576
1-Oct-1996,11.39351
1-Jan-1997,11.34535
1-Apr-1997,11.34937
1-Jul-1997,11.35772
1-Oct-1997,11.31271
1-Jan-1998,11.16688
1-Apr-1998,11.18712
1-Jul-1998,11.17252
1-Oct-1998,11.23396
1-Jan-1999,11.29949
1-Apr-1999,11.45098
1-Jul-1999,11.57728
1-Oct-1999,11.56763
1-Jan-2000,11.51895
1-Apr-2000,11.68289
1-Jul-2000,11.85891
1-Oct-2000,12.08849
1-Jan-2001,12.19412
1-Apr-2001,12.40590
1-Jul-2001,12.33667
1-Oct-2001,12.63241
1-Jan-2002,12.40500
1-Apr-2002,12.34422
1-Jul-2002,12.38845
1-Oct-2002,12.37280
1-Jan-2003,12.36663
1-Apr-2003,12.27209
1-Jul-2003,12.12983
1-Oct-2003,12.19418
1-Jan-2004,12.16465
1-Apr-2004,12.10491
1-Jul-2004,12.22308
1-Oct-2004,12.22622
1-Jan-2005,12.52466
1-Apr-2005,12.52846
1-Jul-2005,12.55501
1-Oct-2005,12.58091
1-Jan-2006,12.56754
1-Apr-2006,12.66080
1-Jul-2006,12.76143
1-Oct-2006,12.84398
1-Jan-2007,12.89558
1-Apr-2007,12.98847
1-Jul-2007,13.08492
1-Oct-2007,13.21155
1-Jan-2008,13.08277
1-Apr-2008,12.70787
1-Jul-2008,12.81372
1-Oct-2008,12.78091
1-Jan-2009,12.68543
1-Apr-2009,12.33701
1-Jul-2009,12.18856
1-Oct-2009,11.93568
1-Jan-2010,11.70649
1-Apr-2010,11.40721
1-Jul-2010,11.20565
1-Oct-2010,11.02907
1-Jan-2011,10.80397
1-Apr-2011,10.70659
1-Jul-2011,10.58513
1-Oct-2011,10.49038
1-Jan-2012,10.26932
1-Apr-2012,10.16325
1-Jul-2012,10.16024
1-Oct-2012,9.86483
1-Jan-2013,10.24183
1-Apr-2013,10.16994
1-Jul-2013,10.12626
1-Oct-2013,10.14990
1-Jan-2014,10.06169
1-Apr-2014,10.04528
1-Jul-2014,10.03391
1-Oct-2014,10.00885
1-Jan-2015,10.04785
1-Apr-2015,10.02961
1-Jul-2015,10.04187
1-Oct-2015,10.07308
