date,close
1-Jan-1984,7285
1-Jan-1985,7593.8
1-Jan-1986,7860.5
1-Jan-1987,8132.6
1-Jan-1988,8474.5
1-Jan-1989,8786.4
1-Jan-1990,8955
1-Jan-1991,8948.4
1-Jan-1992,9266.6
1-Jan-1993,9521
1-Jan-1994,9905.4
1-Jan-1995,10174.8
1-Jan-1996,10561
1-Jan-1997,11034.9
1-Jan-1998,11525.9
1-Jan-1999,12065.9
1-Jan-2000,12559.7
1-Jan-2001,12682.2
1-Jan-2002,12908.8
1-Jan-2003,13271.1
1-Jan-2004,13773.5
1-Jan-2005,14234.2
1-Jan-2006,14613.8
1-Jan-2007,14873.7
1-Jan-2008,14830.4
1-Jan-2009,14418.7
1-Jan-2010,14783.8
1-Jan-2011,15020.6
1-Jan-2012,15354.6
1-Jan-2013,15583.3
1-Jan-2014,15961.7
1-Jan-2015,16348.9
